Flight Time	 ECEF-X-POS	 ECEF-Y-POS	 ECEF-Z-POS	 ECEF-X-VEL	 ECEF-Y-VEL	 ECEF-Z-VEL	 Lat	 Long	 Alt	 rV Sample Number	 SVs Used	 SNR 1	 SNR 2	 SNR 3	 SNR 4	 SNR 5	 SNR 6	 SNR 7	 SNR 8	 SNR 9	 SNR 10	 SNR 11	 SNR 12	 SNR 13	 SNR 14	 SNR 15	 SNR 16	 SNR 17	 SNR 18	 SNR 19	 SNR 20	 SNR 21	 SNR 22	 SNR 23	 SNR 24	 SNR 25	 SNR 26	 SNR 27	 SNR 28	 SNR 29	 SNR 30	 SNR 31	 SNR 32	 SNR 133	 SNR 135	 SNR 138	 GPS Time (mSec of week)	 
-230.75	-2268307.301	-1445842.415	5764016.458	0.216	1.1308	-0.429	65.129878	-147.486144	0.222385	32187	11	0	47	0	47	49	36	0	0	49	0	0	38	0	0	0	0	0	0	0	0	44	0	44	0	38	46	0	0	43	0	48	0	0	0	0	373587250	 
-230.7	-2268307.301	-1445842.39	5764016.431	0.2309	1.1385	-0.4599	65.129878	-147.486145	0.222355	32188	11	0	47	0	47	49	36	0	0	49	0	0	38	0	0	0	0	0	0	0	0	44	0	44	0	38	45	0	0	43	0	48	0	0	0	0	373587300	 
-230.65	-2268307.301	-1445842.346	5764016.43	0.2126	1.0797	-0.4251	65.129878	-147.486146	0.222344	32189	11	0	47	0	47	49	36	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	48	0	0	0	0	373587350	 
-230.6	-2268307.301	-1445842.305	5764016.404	0.1491	0.9565	-0.3762	65.129878	-147.486146	0.222311	32190	11	0	47	0	47	49	36	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	48	0	0	0	0	373587400	 
-230.55	-2268307.275	-1445842.289	5764016.378	0.134	0.849	-0.399	65.129878	-147.486146	0.222275	32191	11	0	47	0	47	49	39	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	48	0	0	0	0	373587450	 
-230.5	-2268307.275	-1445842.275	5764016.378	0.1135	0.7493	-0.3262	65.129878	-147.486147	0.222272	32192	11	0	47	0	47	49	39	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	48	0	0	0	0	373587500	 
-230.45	-2268307.275	-1445842.232	5764016.352	0.0701	0.6314	-0.2806	65.129878	-147.486147	0.222239	32193	11	0	47	0	47	49	39	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	47	0	0	0	0	373587550	 
-230.4	-2268307.275	-1445842.216	5764016.352	0.0358	0.5488	-0.2394	65.129878	-147.486148	0.222235	32194	11	0	47	0	47	49	39	0	0	49	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	47	0	0	0	0	373587600	 
-230.35	-2268307.275	-1445842.197	5764016.352	0.0404	0.4653	-0.1658	65.129878	-147.486148	0.222231	32195	11	0	47	0	47	47	39	0	0	50	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	47	0	0	0	0	373587650	 
-230.3	-2268307.275	-1445842.152	5764016.327	0.0084	0.3969	-0.2171	65.129879	-147.486149	0.222198	32196	11	0	48	0	47	47	39	0	0	50	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	47	0	0	0	0	373587700	 
-230.25	-2268307.275	-1445842.157	5764016.327	0.0114	0.3315	-0.2012	65.129879	-147.486149	0.222199	32197	11	0	48	0	46	47	39	0	0	50	0	0	38	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	43	0	47	0	0	0	0	373587750	 
-230.2	-2268307.25	-1445842.135	5764015.808	-0.01	0.2998	-0.1916	65.129877	-147.486149	0.221714	32198	11	0	48	0	46	47	39	0	0	50	0	0	37	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373587800	 
-230.15	-2268307.25	-1445842.133	5764015.783	0.0155	0.298	-0.224	65.129877	-147.486149	0.221691	32199	11	0	48	0	46	47	39	0	0	50	0	0	37	0	0	0	0	0	0	0	0	46	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373587850	 
-230.1	-2268307.25	-1445842.107	5764015.759	-0.0087	0.3191	-0.2292	65.129877	-147.486149	0.221663	32200	11	0	48	0	46	47	39	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373587900	 
-230.05	-2268307.25	-1445842.081	5764015.76	-0.0382	0.3196	-0.1489	65.129877	-147.48615	0.221658	32201	11	0	48	0	46	47	39	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373587950	 
-230	-2268307.25	-1445842.079	5764015.735	0.0161	0.3434	-0.1885	65.129877	-147.48615	0.221635	32202	11	0	48	0	46	47	38	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373588000	 
-229.95	-2268307.25	-1445842.052	5764015.71	0.007	0.3856	-0.1601	65.129877	-147.48615	0.221607	32203	11	0	48	0	46	47	38	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	47	0	0	0	0	373588050	 
-229.9	-2268307.25	-1445842.025	5764015.686	0.021	0.3815	-0.225	65.129877	-147.486151	0.221579	32204	11	0	48	0	46	47	38	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	48	0	0	0	0	373588100	 
-229.85	-2268307.25	-1445841.997	5764015.662	0.039	0.4077	-0.192	65.129877	-147.486151	0.221551	32205	11	0	48	0	46	47	38	0	0	50	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	48	0	0	0	0	373588150	 
-229.8	-2268307.25	-1445841.99	5764015.638	0.0609	0.4634	-0.2194	65.129877	-147.486151	0.221528	32206	11	0	48	0	46	49	38	0	0	52	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	48	0	0	0	0	373588200	 
-229.75	-2268307.25	-1445841.96	5764015.615	0.0906	0.5204	-0.2554	65.129877	-147.486152	0.221499	32207	11	0	47	0	46	49	38	0	0	52	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	48	0	0	0	0	373588250	 
-229.7	-2268307.224	-1445841.954	5764015.565	0.0668	0.5245	-0.1942	65.129877	-147.486152	0.221444	32208	11	0	47	0	46	49	38	0	0	52	0	0	37	0	0	0	0	0	0	0	0	45	0	44	0	38	45	0	0	44	0	48	0	0	0	0	373588300	 
-229.65	-2268307.224	-1445841.926	5764015.542	0.0859	0.5499	-0.2016	65.129877	-147.486152	0.221416	32209	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	45	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588350	 
-229.6	-2268307.224	-1445841.897	5764015.518	0.1096	0.5719	-0.1747	65.129877	-147.486153	0.221388	32210	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	45	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588400	 
-229.55	-2268307.224	-1445841.873	5764015.495	0.134	0.5724	-0.1746	65.129877	-147.486153	0.221362	32211	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	44	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588450	 
-229.5	-2268307.224	-1445841.851	5764015.471	0.1144	0.5129	-0.1257	65.129877	-147.486154	0.221335	32212	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	44	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588500	 
-229.45	-2268307.198	-1445841.856	5764015.447	0.1019	0.4218	-0.1565	65.129877	-147.486153	0.221306	32213	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	44	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588550	 
-229.4	-2268307.198	-1445841.836	5764015.424	0.0907	0.3798	-0.0718	65.129877	-147.486154	0.22128	32214	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	44	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588600	 
-229.35	-2268307.198	-1445841.841	5764015.401	0.1049	0.3109	-0.1049	65.129877	-147.486154	0.22126	32215	11	0	47	0	46	49	38	0	0	52	0	0	34	0	0	0	0	0	0	0	0	44	0	44	0	37	45	0	0	44	0	48	0	0	0	0	373588650	 
